N,E,Z
9.75,0.5,10.02
9.75,0.75,10.01
9.75,1,10.01
9.75,1.25,10.01
9.75,1.5,10.01
9.75,1.75,10.01
9.75,2,10.01
9.75,2.25,10.01
9.75,2.5,10.01
9.75,2.75,10.01
9.75,3,10
9.75,3.25,10
9.75,3.5,10
9.75,3.75,10
9.75,4,10
9.75,4.25,10
9.75,4.5,10
9.75,4.75,10
9.75,5,9.99
9.75,5.25,9.99
9.75,5.5,9.99
9.75,5.75,9.99
9.75,6,9.99
9.75,6.25,9.99
9.75,6.5,9.99
9.75,6.75,9.98
9.75,7,9.98
9.75,7.25,9.98
9.75,7.5,9.98
9.75,7.75,9.98
9.75,8,9.98
9.75,8.25,9.97
9.75,8.5,9.97
9.75,8.75,9.97
9.75,9,9.97
9.75,9.25,9.97
9.75,9.5,9.97
9.75,9.75,9.96
9.75,10,9.96
9.75,10.25,9.96
9.75,10.5,9.96
9.75,10.75,9.96
9.75,11,9.96
9.75,11.25,9.95
9.75,11.5,9.95
9.75,11.75,9.95
9.75,12,9.95
9.75,12.25,9.95
9.75,12.5,9.95
9.75,12.75,9.94
9.75,13,9.94
9.75,13.25,9.94
9.75,13.5,9.94
9.75,13.75,9.94
9.75,14,9.93
9.75,14.25,9.93
9.75,14.5,9.93
9.75,14.75,9.93
9.75,15,9.92
9.75,15.25,9.92
9.75,15.5,9.92
9.75,15.75,9.92
9.75,16,9.91
9.75,16.25,9.91
9.75,16.5,9.9
9.75,16.75,9.9
9.75,17,9.9
9.75,17.25,9.89
9.75,17.5,9.89
9.75,17.75,9.88
9.75,18,9.88
9.75,18.25,9.88
9.75,18.5,9.87
9.75,18.75,9.87
9.75,19,9.86
9.75,19.25,9.86
9.75,19.5,9.85
9.75,19.75,9.85
9.75,20,9.84
9.75,20.25,9.84
9.75,20.5,9.83
9.75,20.75,9.83
9.75,21,9.82
9.75,21.25,9.82
9.75,21.5,9.81
9.75,21.75,9.81
9.75,22,9.8
9.75,22.25,9.8
9.75,22.5,9.79
9.75,22.75,9.79
9.75,23,9.78
9.75,23.25,9.77
9.75,23.5,9.77
9.75,23.75,9.76
9.75,24,9.76
9.75,24.25,9.75
9.75,24.5,9.75
9.75,24.75,9.74
9.75,25,9.73
9.75,25.25,9.73
9.75,25.5,9.72
9.75,25.75,9.72
9.75,26,9.71
9.75,26.25,9.7
9.75,26.5,9.7
9.75,26.75,9.69
9.75,27,9.69
9.75,27.25,9.68
9.75,27.5,9.67
9.75,27.75,9.67
9.75,28,9.66
9.75,28.25,9.66
9.75,28.5,9.65
9.75,28.75,9.64
9.75,29,9.64
9.75,29.25,9.63
9.75,29.5,9.63
9.75,29.75,9.62
9.75,30,9.61
9.75,30.25,9.61
9.75,30.5,9.6
9.75,30.75,9.59
9.75,31,9.59
9.75,31.25,9.58
9.75,31.5,9.57
9.75,31.75,9.57
9.75,32,9.56
9.75,32.25,9.55
9.75,32.5,9.55
9.75,32.75,9.54
9.75,33,9.54
9.75,33.25,9.53
9.75,33.5,9.52
9.75,33.75,9.52
9.75,34,9.51
9.75,34.25,9.5
9.75,34.5,9.5
9.75,34.75,9.49
9.75,35,9.48
9.75,35.25,9.48
9.75,35.5,9.47
9.75,35.75,9.46
9.75,36,9.46
9.75,36.25,9.45
9.75,36.5,9.45
9.75,36.75,9.44
9.75,37,9.43
9.75,37.25,9.43
9.75,37.5,9.42
9.75,37.75,9.41
9.75,38,9.41
9.75,38.25,9.4
9.75,38.5,9.4
9.75,38.75,9.39
9.75,39,9.38
9.75,39.25,9.38
9.75,39.5,9.37
9.75,39.75,9.37
9.75,40,9.36
9.75,40.25,9.35
9.75,40.5,9.35
9.75,40.75,9.34
9.75,41,9.34
9.75,41.25,9.33
9.75,41.5,9.33
9.75,41.75,9.32
9.75,42,9.32
9.75,42.25,9.31
9.75,42.5,9.3
9.75,42.75,9.3
9.75,43,9.29
9.75,43.25,9.29
9.75,43.5,9.28
9.75,43.75,9.28
9.75,44,9.27
9.75,44.25,9.27
9.75,44.5,9.26
9.75,44.75,9.26
9.75,45,9.26
9.75,45.25,9.25
9.75,45.5,9.25
9.75,45.75,9.24
9.75,46,9.24
9.75,46.25,9.23
9.75,46.5,9.23
9.75,46.75,9.22
9.75,47,9.22
9.75,47.25,9.21
9.75,47.5,9.21
9.75,47.75,9.21
9.75,48,9.2
9.75,48.25,9.2
9.75,48.5,9.19
9.75,48.75,9.19
9.75,49,9.18
9.75,49.25,9.18
9.75,49.5,9.18
9.75,49.75,9.17
