N,E,Z
24.5,-0.25,10.11
24.5,0,10.11
24.5,0.25,10.1
24.5,0.5,10.1
24.5,0.75,10.1
24.5,1,10.1
24.5,1.25,10.1
24.5,1.5,10.1
24.5,1.75,10.1
24.5,2,10.1
24.5,2.25,10.1
24.5,2.5,10.1
24.5,2.75,10.09
24.5,3,10.09
24.5,3.25,10.09
24.5,3.5,10.09
24.5,3.75,10.09
24.5,4,10.09
24.5,4.25,10.09
24.5,4.5,10.08
24.5,4.75,10.08
24.5,5,10.08
24.5,5.25,10.08
24.5,5.5,10.08
24.5,5.75,10.08
24.5,6,10.07
24.5,6.25,10.07
24.5,6.5,10.07
24.5,6.75,10.07
24.5,7,10.07
24.5,7.25,10.06
24.5,7.5,10.06
24.5,7.75,10.06
24.5,8,10.06
24.5,8.25,10.05
24.5,8.5,10.05
24.5,8.75,10.05
24.5,9,10.05
24.5,9.25,10.05
24.5,9.5,10.04
24.5,9.75,10.04
24.5,10,10.04
24.5,10.25,10.04
24.5,10.5,10.03
24.5,10.75,10.03
24.5,11,10.03
24.5,11.25,10.02
24.5,11.5,10.02
24.5,11.75,10.02
24.5,12,10.02
24.5,12.25,10.01
24.5,12.5,10.01
24.5,12.75,10.01
24.5,13,10
24.5,13.25,10
24.5,13.5,10
24.5,13.75,10
24.5,14,9.99
24.5,14.25,9.99
24.5,14.5,9.99
24.5,14.75,9.98
24.5,15,9.98
24.5,15.25,9.97
24.5,15.5,9.97
24.5,15.75,9.97
24.5,16,9.96
24.5,16.25,9.96
24.5,16.5,9.95
24.5,16.75,9.95
24.5,17,9.95
24.5,17.25,9.94
24.5,17.5,9.94
24.5,17.75,9.93
24.5,18,9.93
24.5,18.25,9.92
24.5,18.5,9.92
24.5,18.75,9.91
24.5,19,9.91
24.5,19.25,9.9
24.5,19.5,9.9
24.5,19.75,9.89
24.5,20,9.89
24.5,20.25,9.88
24.5,20.5,9.88
24.5,20.75,9.87
24.5,21,9.87
24.5,21.25,9.86
24.5,21.5,9.86
24.5,21.75,9.85
24.5,22,9.84
24.5,22.25,9.84
24.5,22.5,9.83
24.5,22.75,9.82
24.5,23,9.82
24.5,23.25,9.81
24.5,23.5,9.81
24.5,23.75,9.8
24.5,24,9.79
24.5,24.25,9.79
24.5,24.5,9.78
24.5,24.75,9.77
24.5,25,9.77
24.5,25.25,9.76
24.5,25.5,9.75
24.5,25.75,9.75
24.5,26,9.74
24.5,26.25,9.73
24.5,26.5,9.73
24.5,26.75,9.72
24.5,27,9.71
24.5,27.25,9.71
24.5,27.5,9.7
24.5,27.75,9.69
24.5,28,9.69
24.5,28.25,9.68
24.5,28.5,9.67
24.5,28.75,9.67
24.5,29,9.66
24.5,29.25,9.65
24.5,29.5,9.65
24.5,29.75,9.64
24.5,30,9.63
24.5,30.25,9.62
24.5,30.5,9.62
24.5,30.75,9.61
24.5,31,9.6
24.5,31.25,9.6
24.5,31.5,9.59
24.5,31.75,9.58
24.5,32,9.57
24.5,32.25,9.57
24.5,32.5,9.56
24.5,32.75,9.55
24.5,33,9.55
24.5,33.25,9.54
24.5,33.5,9.53
24.5,33.75,9.53
24.5,34,9.52
24.5,34.25,9.51
24.5,34.5,9.5
24.5,34.75,9.5
24.5,35,9.49
24.5,35.25,9.48
24.5,35.5,9.48
24.5,35.75,9.47
24.5,36,9.46
24.5,36.25,9.46
24.5,36.5,9.45
24.5,36.75,9.44
24.5,37,9.43
24.5,37.25,9.43
24.5,37.5,9.42
24.5,37.75,9.41
24.5,38,9.41
24.5,38.25,9.4
24.5,38.5,9.39
24.5,38.75,9.39
24.5,39,9.38
24.5,39.25,9.38
24.5,39.5,9.37
24.5,39.75,9.36
24.5,40,9.36
24.5,40.25,9.35
24.5,40.5,9.34
24.5,40.75,9.34
24.5,41,9.33
24.5,41.25,9.33
24.5,41.5,9.32
24.5,41.75,9.31
24.5,42,9.31
24.5,42.25,9.3
24.5,42.5,9.3
24.5,42.75,9.29
24.5,43,9.28
24.5,43.25,9.28
24.5,43.5,9.27
24.5,43.75,9.26
24.5,44,9.26
24.5,44.25,9.25
24.5,44.5,9.25
24.5,44.75,9.24
24.5,45,9.23
24.5,45.25,9.23
24.5,45.5,9.22
24.5,45.75,9.22
24.5,46,9.21
24.5,46.25,9.21
24.5,46.5,9.2
24.5,46.75,9.19
24.5,47,9.19
24.5,47.25,9.18
24.5,47.5,9.18
24.5,47.75,9.17
24.5,48,9.17
24.5,48.25,9.16
24.5,48.5,9.16
